# 无释义词组补录工作表（G1）—— 由 tools/import_no_meaning_phrases.py 生成
# 用法：核对「建议释义（AI，未核实）」，把认可的解释抄进「释义」列后运行：
#   python tools/import_no_meaning_phrases.py --import [--dry-run]
# 导入只认「释义」列；留空的行跳过。请勿改动前四列或增删行。
词组	级别	来源	建议释义（AI，未核实）	释义（人工填写）
wind one's way	高考	24天突破高考英语必背短语.xlsx	蜿蜒前进；迂回而行	
wind the clock	高考	24天突破高考英语必背短语.xlsx	给钟上发条	
wind the watch	高考	24天突破高考英语必背短语.xlsx	给表上发条	
with this method	高考	24天突破高考英语必背短语.xlsx	用这种方法	
wonder to do	高考	24天突破高考英语必背短语.xlsx	诧异；想知道（后接不定式）	
wonder whether ...	高考	24天突破高考英语必背短语.xlsx	不知道是否……	
would prefer to do	高考	24天突破高考英语必背短语.xlsx	更愿意做；宁愿做	
You'd better do sth.	高考	24天突破高考英语必背短语.xlsx	你最好做某事	
achieve one's dreams	初中	初中英语常考短语.xlsx	实现梦想	
ask one's permission	初中	初中英语常考短语.xlsx	征求某人的许可	
at supper	初中	初中英语常考短语.xlsx	在吃晚饭	
at the corner of	初中	初中英语常考短语.xlsx	在……的拐角处	
be afraid of doing sth.	初中	初中英语常考短语.xlsx	害怕做某事	
be certain to do sth.	初中	初中英语常考短语.xlsx	肯定会做某事	
be frightened to do sth.	初中	初中英语常考短语.xlsx	害怕做某事	
be ill in bed	初中	初中英语常考短语.xlsx	卧病在床	
be made to do sth.	初中	初中英语常考短语.xlsx	被迫做某事（make 的被动式还原 to）	
be moved by	初中	初中英语常考短语.xlsx	被……感动	
be poor in	初中	初中英语常考短语.xlsx	缺乏……	
be sad for	初中	初中英语常考短语.xlsx	为……难过	
be talented in	初中	初中英语常考短语.xlsx	在……方面有天赋	
be used to do sth.	初中	初中英语常考短语.xlsx	被用来做某事	
be used to doing sth.	初中	初中英语常考短语.xlsx	习惯于做某事	
between ... and ...	初中	初中英语常考短语.xlsx	在……和……两者之间	
congratulations to	初中	初中英语常考短语.xlsx	祝贺……	
correct the mistakes	初中	初中英语常考短语.xlsx	改正错误	
develop a film	初中	初中英语常考短语.xlsx	冲洗胶卷（底片）	
do some exercises	初中	初中英语常考短语.xlsx	做练习题；做操	
find sb. doing sth.	初中	初中英语常考短语.xlsx	发现某人正在做某事	
get mad at	初中	初中英语常考短语.xlsx	对……生气	
get ready to do sth.	初中	初中英语常考短语.xlsx	准备好做某事	
get used to doing sth.	初中	初中英语常考短语.xlsx	习惯于做某事	
go on to do sth.	初中	初中英语常考短语.xlsx	接着做另一件事	
had better not do sth.	初中	初中英语常考短语.xlsx	最好不要做某事	
have got a high fever	初中	初中英语常考短语.xlsx	发高烧	
have no time to do	初中	初中英语常考短语.xlsx	没有时间做	
in a tired voice	初中	初中英语常考短语.xlsx	用疲倦的声音	
in another way	初中	初中英语常考短语.xlsx	用另一种方式	
in hunger	初中	初中英语常考短语.xlsx	处于饥饿之中	
in one's fifties	初中	初中英语常考短语.xlsx	在五十多岁时	
in the 1970s	初中	初中英语常考短语.xlsx	在二十世纪七十年代	
in the past few years	初中	初中英语常考短语.xlsx	在过去几年里	
keep secrets	初中	初中英语常考短语.xlsx	保守秘密	
make a phone call to	初中	初中英语常考短语.xlsx	给……打电话	
make one's way towards	初中	初中英语常考短语.xlsx	向……走去	
neither does sb.	初中	初中英语常考短语.xlsx	某人也不（倒装）	
no choice but ...	初中	初中英语常考短语.xlsx	除了……别无选择	
notice sb. do sth.	初中	初中英语常考短语.xlsx	注意到某人做了某事	
on one's side	初中	初中英语常考短语.xlsx	在某人一边；支持某人	
practice with	初中	初中英语常考短语.xlsx	与……一起练习；用……练习	
prefer to do sth. rather than do sth.	初中	初中英语常考短语.xlsx	宁愿做……而不愿做……	
read a newspaper	初中	初中英语常考短语.xlsx	看报；读报	
set the alarm clock	初中	初中英语常考短语.xlsx	给闹钟定时	
show the ticket	初中	初中英语常考短语.xlsx	出示车票（证件票券）	
sing sb.'s praises	初中	初中英语常考短语.xlsx	高度赞扬某人	
sing sth.'s praises	初中	初中英语常考短语.xlsx	高度赞扬某事物	
solve the problems	初中	初中英语常考短语.xlsx	解决问题	
spend ... doing sth.	初中	初中英语常考短语.xlsx	花费（时间／金钱）做某事	
start a club	初中	初中英语常考短语.xlsx	创办俱乐部	
such a fine day	初中	初中英语常考短语.xlsx	这么好的天气	
take different routes	初中	初中英语常考短语.xlsx	走不同的路线	
take one's advice	初中	初中英语常考短语.xlsx	听从某人的建议	
watch a match	初中	初中英语常考短语.xlsx	观看比赛	
at sb.'s disposal	四六级	四六级常考核心词组1500.xlsx	由某人随意支配	
do one's share	四六级	四六级常考核心词组1500.xlsx	做自己的一份工作；尽自己的一份力	
get on sb.'s nerves	四六级	四六级常考核心词组1500.xlsx	使某人心烦不安	
in sb.'s debt	四六级	四六级常考核心词组1500.xlsx	欠某人的债（人情）	
in sb.'s presence	四六级	四六级常考核心词组1500.xlsx	在某人面前	
in sb.'s shoes	四六级	四六级常考核心词组1500.xlsx	处于某人的地位（处境）	
in sb.'s way	四六级	四六级常考核心词组1500.xlsx	挡某人的路；妨碍某人	
in the behalf of	四六级	四六级常考核心词组1500.xlsx	代表……；为了……的利益	
on the sky	四六级	四六级常考核心词组1500.xlsx	在天空中（惯用搭配为 in the sky，建议核对）	
take care over	四六级	四六级常考核心词组1500.xlsx	细心对待；讲究……	
upon one's honor	四六级	四六级常考核心词组1500.xlsx	以名誉担保	
a glimpse at	四六级	四六级常考词组必备.xlsx	对……粗略的一瞥	
accuse sb. of doing sth.	四六级	四六级常考词组必备.xlsx	指控某人做了某事	
amuse sb. by doing sth.	四六级	四六级常考词组必备.xlsx	以做某事逗乐某人	
balance between A and B	四六级	四六级常考词组必备.xlsx	A 与 B 之间的平衡	
be accustomed to doing sth.	四六级	四六级常考词组必备.xlsx	习惯于做某事	
be advisable to	四六级	四六级常考词组必备.xlsx	做……是明智的；最好……	
be assigned to do	四六级	四六级常考词组必备.xlsx	被指派做	
be at one's disposal	四六级	四六级常考词组必备.xlsx	由某人随意支配	
be at the mercy of	四六级	四六级常考词组必备.xlsx	受……的摆布；任由……支配	
be beyond all question	四六级	四六级常考词组必备.xlsx	毫无疑问	
be beyond belief	四六级	四六级常考词组必备.xlsx	难以置信	
be beyond compare	四六级	四六级常考词组必备.xlsx	无与伦比	
be cautious about	四六级	四六级常考词组必备.xlsx	对……谨慎小心	
be implicit in	四六级	四六级常考词组必备.xlsx	暗含在……之中	
be in embryo	四六级	四六级常考词组必备.xlsx	尚在萌芽（雏形）阶段	
be in one's shoes	四六级	四六级常考词组必备.xlsx	处于某人的境地	
be in one's way	四六级	四六级常考词组必备.xlsx	挡某人的路；妨碍某人	
be in opposition	四六级	四六级常考词组必备.xlsx	持反对态度；（政党）在野	
be in opposition to	四六级	四六级常考词组必备.xlsx	与……相对立；反对……	
be in the mood to do sth.	四六级	四六级常考词组必备.xlsx	有心情做某事	
be indispensable for	四六级	四六级常考词组必备.xlsx	对……来说是必不可少的	
be irrespective of	四六级	四六级常考词组必备.xlsx	不顾；不考虑……	
be not in the mood	四六级	四六级常考词组必备.xlsx	没有心情	
be not in the mood for sth.	四六级	四六级常考词组必备.xlsx	没有心情做某事	
be not in the mood to do sth.	四六级	四六级常考词组必备.xlsx	没有心情做某事	
be off guard	四六级	四六级常考词组必备.xlsx	不提防；猝不及防	
be off the track	四六级	四六级常考词组必备.xlsx	偏离正轨（跑题）	
be on the job	四六级	四六级常考词组必备.xlsx	正在工作；警惕着	
be out of temper	四六级	四六级常考词组必备.xlsx	在发脾气；生气	
be skeptical about	四六级	四六级常考词组必备.xlsx	对……抱怀疑态度	
be up to the minute	四六级	四六级常考词组必备.xlsx	最新式的；紧随时尚的	
be without compare	四六级	四六级常考词组必备.xlsx	无与伦比	
bring sb. to his knees	四六级	四六级常考词组必备.xlsx	迫使某人屈服	
compose oneself to do sth.	四六级	四六级常考词组必备.xlsx	平心静气地做某事	
concentrate on doing sth.	四六级	四六级常考词组必备.xlsx	聚精会神地做某事	
confess to doing sth.	四六级	四六级常考词组必备.xlsx	承认做过某事	
cooperate with sb. in doing sth.	四六级	四六级常考词组必备.xlsx	与某人合作做某事	
discourage sb. from doing	四六级	四六级常考词组必备.xlsx	使某人泄气而不做	
draw one's attention to sth.	四六级	四六级常考词组必备.xlsx	把某人的注意力引到某事上	
enroll on	四六级	四六级常考词组必备.xlsx	登记参加；报名加入	
feel an interest in ...	四六级	四六级常考词组必备.xlsx	对……感兴趣	
follow one's advice	四六级	四六级常考词组必备.xlsx	听从某人的建议	
generate from	四六级	四六级常考词组必备.xlsx	由……产生；发源于	
get a fever	四六级	四六级常考词组必备.xlsx	发烧	
get insight into	四六级	四六级常考词组必备.xlsx	洞察；深刻了解……	
go the rounds of	四六级	四六级常考词组必备.xlsx	巡回；（消息）传遍……	
hold sb. to ransom	四六级	四六级常考词组必备.xlsx	挟持某人索取赎金；要挟某人	
in one's honor	四六级	四六级常考词组必备.xlsx	为向某人表示敬意	
in one's presence	四六级	四六级常考词组必备.xlsx	当着某人的面	
influence upon ...	四六级	四六级常考词组必备.xlsx	对……的影响	
influence with ...	四六级	四六级常考词组必备.xlsx	对……的影响力	
jump a queue	四六级	四六级常考词组必备.xlsx	插队	
launch in	四六级	四六级常考词组必备.xlsx	开始；投入（常为 launch into，建议核对）	
lay great emphasis on	四六级	四六级常考词组必备.xlsx	非常强调；极度重视	
make a top priority	四六级	四六级常考词组必备.xlsx	作为最优先处理的事	
make one's acquaintance of sb.	四六级	四六级常考词组必备.xlsx	结识某人（惯用 make sb.'s acquaintance，建议核对）	
mediate in	四六级	四六级常考词组必备.xlsx	在……中进行调解	
on one's own behalf	四六级	四六级常考词组必备.xlsx	代表自己；为了自己	
orient toward	四六级	四六级常考词组必备.xlsx	朝向……；以……为导向	
persist for	四六级	四六级常考词组必备.xlsx	持续（一段时间）	
persist in doing sth.	四六级	四六级常考词组必备.xlsx	坚持不懈地做某事	
propose to doing	四六级	四六级常考词组必备.xlsx	建议（做）……（通常为 propose to do，建议核对）	
queue for	四六级	四六级常考词组必备.xlsx	排队等候	
range from A to B	四六级	四六级常考词组必备.xlsx	（范围）从 A 到 B 不等	
reaction against	四六级	四六级常考词组必备.xlsx	对……的反抗（反感）	
shake one's belief	四六级	四六级常考词组必备.xlsx	动摇某人的信念	
stream into	四六级	四六级常考词组必备.xlsx	源源涌入	
talk sb. into doing	四六级	四六级常考词组必备.xlsx	说服某人做某事	
the ability for sth.	四六级	四六级常考词组必备.xlsx	从事某事的能力	
the ability in doing sth.	四六级	四六级常考词组必备.xlsx	做某事的能力	
the ability to do sth.	四六级	四六级常考词组必备.xlsx	做某事的能力	
to all intents	四六级	四六级常考词组必备.xlsx	实际上；无论从哪点看（常接 and purposes）	
twist one's ankle	四六级	四六级常考词组必备.xlsx	扭伤脚踝	
apologize to sb. for doing sth.	高中	高中英语常考短语与句型.xlsx	因做某事向某人道歉	
bargain with sb. for sth.	高中	高中英语常考短语与句型.xlsx	为某物与某人讨价还价	
be pleased about	高中	高中英语常考短语与句型.xlsx	对……感到满意（高兴）	
can't wait to	高中	高中英语常考短语与句型.xlsx	迫不及待要（做）……	
distinguish between ... and ...	高中	高中英语常考短语与句型.xlsx	区分……与……	
have a desire to do	高中	高中英语常考短语与句型.xlsx	有做……的愿望	
have a population of	高中	高中英语常考短语与句型.xlsx	有……的人口	
have sth. in stock	高中	高中英语常考短语与句型.xlsx	备有某物的存货	
have trouble in doing sth.	高中	高中英语常考短语与句型.xlsx	做某事有困难	
in the history of	高中	高中英语常考短语与句型.xlsx	在……的历史上	
in whispers	高中	高中英语常考短语与句型.xlsx	低声地；悄声地	
make one's way toward	高中	高中英语常考短语与句型.xlsx	向……走去	
on one's way to	高中	高中英语常考短语与句型.xlsx	在去……的路上	
on the one hand ... on the other ...	高中	高中英语常考短语与句型.xlsx	一方面……另一方面……	
on the point of doing sth.	高中	高中英语常考短语与句型.xlsx	正要做某事	
out of respect	高中	高中英语常考短语与句型.xlsx	出于尊敬	
persuade sb. to do sth.	高中	高中英语常考短语与句型.xlsx	说服某人做某事	
prefer to do rather than do	高中	高中英语常考短语与句型.xlsx	宁愿做……而不愿做……	
prevent sb. from doing sth.	高中	高中英语常考短语与句型.xlsx	阻止某人做某事	
push one's way through	高中	高中英语常考短语与句型.xlsx	挤出一条路；挤过人群	
quarrel with sb. about sth.	高中	高中英语常考短语与句型.xlsx	为某事与某人争吵	
quarrel with sb. over sth.	高中	高中英语常考短语与句型.xlsx	为某事与某人争吵	
remind sb. not to do sth.	高中	高中英语常考短语与句型.xlsx	提醒某人不要做某事	
remind sb. to do sth.	高中	高中英语常考短语与句型.xlsx	提醒某人做某事	
rise up against	高中	高中英语常考短语与句型.xlsx	起来反抗；起义反对	
take sb. in one's arms	高中	高中英语常考短语与句型.xlsx	把某人搂（抱）在怀里	
take sb.'s advice	高中	高中英语常考短语与句型.xlsx	接受某人的建议	
to sb.'s delight	高中	高中英语常考短语与句型.xlsx	使某人高兴的是	
to sb.'s surprise	高中	高中英语常考短语与句型.xlsx	使某人吃惊的是	
trick sb. into doing sth.	高中	高中英语常考短语与句型.xlsx	诱骗某人做某事	
under sb.'s direction	高中	高中英语常考短语与句型.xlsx	在某人的指导下	
warn sb. against doing sth.	高中	高中英语常考短语与句型.xlsx	告诫某人不要做某事	
waste ... doing sth.	高中	高中英语常考短语与句型.xlsx	浪费……（时间）做某事	
waste ... in doing sth.	高中	高中英语常考短语与句型.xlsx	浪费……（时间）做某事	
with an average of	高中	高中英语常考短语与句型.xlsx	平均为……	
would love to do sth.	高中	高中英语常考短语与句型.xlsx	很愿意（想要）做某事	
